Siouanist,Riggs,Deloria,Buechel,Manhart,Lakota,Colorado,Ullrich,White Hat,RST,SICC,Txakini,Net Siouan
siouanist,riggs,deloria,buechel,manhart,lakota,colorado,ullrich,whitehat,rosebud,sicc,txakini,net
á,á,á,á,á,á,á,á,á,á,á,a,a
é,é,é,é,é,é,é,é,é,é,é,e,e
í,í,í,í,í,í,í,í,í,í,í,i,i
ó,ó,ó,ó,ó,ó,ó,ó,ó,ó,ó,o,o
ú,ú,ú,ú,ú,ú,ú,ú,ú,ú,ú,u,u
p,p,p,p,ṗ,p,p,p,p̄,p,p̄,p,p
pʰ,p,p‘,p‘,p,p,ph,ph,p,p,p,ph,ph
pˣ,p,p‘,p‘,p‘,p,ph,pȟ,ṗ,ṗ,ṗ,px,ph
pˀ,p̧,p’,p’,p’,p’,pˀ,p’,p’,p’,p’,p’,p?
b,b,b,b,b,b,b,b,b,b,b,b,b
m,m,m,m,m,m,m,m,m,m,m,m,m
w,w,w,w,w,w,w,w,w,w,w,w,w
t,t,t,t,ṫ,t,t,t,t̄,t,t̄,t,t
tʰ,t,t‘,t‘,t,t,th,th,t,t,t,th,th
tˣ,t,t‘,t‘,t‘,t,th,tȟ,ṫ,ṫ,ṫ,tx,th
tˀ,ţ,t’,t’,t’,t’,tˀ,t’,t’,t’,t’,t’,t?
s,s,s,s,s,s,s,s,s,s,s,s,s
sˀ,ş,s’,s’,s’,s’,sˀ,s’,s’,s’,s’,s’,s?
z,z,z,z,z,z,z,z,z,z,z,z,z
n,n,n,n,n,n,n,n,n,n,n,n,n
l,l,l,l,l,l,l,l,l,l,l,l,l
č,ć,c,c,ċ,c,č,č,c̄,c’,c̄,c,c^
čʰ,ć,c‘,c‘,c,c,čh,čh,ċ,ċ,c̀,ch,c^h
čˀ,ç,c’,c’,c’,c’,čˀ,č’,c’,c’,c̀’,c’,c?
š,ś,ś,ś,ś,ś/s,š,š,ṡ,ṡ,s̀,sh,s^
šˀ,ś’,ś’,ś’,ś’,ś’,šˀ,š’,ṡ’,ṡ’,s̀’,sh’,s^?
ž,ź,ź,j,j,j,ž,ž,j,j,j,zh,z^
y,y,y,y,y,y,y,y,y,y,y,y,y
k,k,k,k,k̇,k,k,k,k̄,k,k̄,k,k
kʰ,k,k‘,k‘,k,k,kh,kh,k,k,k,kh,kh
kˣ,k,k‘,k‘,k‘,k,kh,kȟ,k̇,k̇,k̇,kx,kh
kˀ,ķ,k’,k’,k’,k’,kˀ,k’,k’,k’,k’,k’,k?
x,ḣ,ḣ,ḣ,ḣ,ḣ/r,ȟ,ȟ,ḣ,ḣ,ḣ,x,h^
xˀ,ḣ,ḣ’,ḣ’,ḣ’,ḣ’,ȟˀ,ȟ’,ḣ’,ḣ’,ḣ’,x’,h^?
γ,ġ,ġ,ġ,ġ,g,ǧ,ǧ,ġ,ġ,ġ,gx,g
g,g,g,g,g,g,g,g,g,g,g,g,g
ʔ,ø,’,’,’,’,ʔ,’,’,’,’,’,?
h,h,h,h,h,h,h,h,h,h,h,h,h
i,i,i,i,i,i,i,i,i,i,i,i,i
į,iƞ,į,iƞ,iƞ,in,į,iŋ,iƞ,iƞ,iƞ,in,iN
u,u,u,u,u,u,u,u,u,u,u,u,u
ų,uƞ,ų,uƞ,uƞ,un,ų,uŋ,uƞ,uƞ,uƞ,un,uN
e,e,e,e,e,e,e,e,e,e,e,e,e
o,o,o,o,o,o,o,o,o,o,o,o,o
a,a,a,a,a,a,a,a,a,a,a,a,a
ą,aƞ,ą,aƞ,aƞ,an,ą,aŋ,aƞ,aƞ,aƞ,an,aN
